movie,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
7,150,13:22,13:30,722.127,730.127,482,487,"And he gives him the map, and he opens it, and it’s like a bigger, like a physically bigger map, like larger, but it doesn’t have more space around the town."
7,151,13:30,13:36,730.127,736.127,488,491,"And he's like, “You know, I wanna see more area.”"
7,-1,13:37,13:42,737.127,742.127,492,495,And I’m blanking on how this one ends.
7,151,13:42,13:49,742.127,749.127,496,499,"It might’ve ended just about there, but the guy behind the counter probably makes some comment, but I, I don’t remember what it is."
6,6000,13:52,13:59,752.127,759.127,502,506,"Ok, so the one before that was the one with the rock."
6,111,13:59,14:08,759.127,768.127,507,512,"So it starts off with this massive rock, who is kind of, the rock is like personified as, you know, a person."
6,111,14:08,14:12,768.127,772.127,513,515,"So the rock has eyes and a nose, and I don’t know if it has a mouth."
6,111,14:12,14:14,772.127,774.127,516,516,It definitely has eyes and a nose.
6,111,14:14,14:25,774.127,785.127,517,523,"And it’s a huge rock, and its looking out over like this quaint little stream, and there's like life around and this little green creature that pops up from the water and goes onto a rock and then pops back in."
6,112,14:26,14:30,786.127,790.127,525,527,"And the rock is like getting kind of tired, and so he closes his eyes to sleep."
6,"112, 113",14:30,14:40,790.127,800.127,528,533,"And as he's sleeping, the earth undergoes massive changes, like, you know, the, the ice age and like dinosaur ages and so on."
6,113,14:40,14:45,800.127,805.127,534,537,"It kind of moves through many, many different stages, like millions and millions of years."
6,"113, 114",14:47,14:56,807.127,816.127,539,544,"And then when the rock wakes back up, it’s been millions of years, and so he’s kind of worn away to a much smaller rock than he was initially."
6,114,14:56,15:05,816.127,825.127,545,550,"And he wakes up because there are, is somebody on his back who is chopping down this little tree that was like growing out of the rock."
6,114,15:06,15:11,826.127,831.127,552,554,"And then the rock is probably annoyed, because he’s been woken up out of his sleep."
6,114,15:11,15:16,831.127,836.127,555,557,"And then there's people that are next, that are by him, building away, making things."
6,115,15:17,15:30,837.127,850.127,559,567,"And then the rock like kind of, I think he gets up, but he moves away to somewhere else and goes to try to sleep somewhere else, like pulling up against a tree or something like that."
6,116,15:32,15:44,852.127,864.127,569,576,"And, but then he’s kind of taken away by other people and carted away where he’s made into a component of some kind of like mill or something that grounds I guess grains or something like that."
6,116,15:44,15:50,864.127,870.127,577,580,"I’m not sure what it is, like this thing rotates, and I think he grinds grains into flour or something like that."
6,116,15:51,15:55,871.127,875.127,582,583,"So he spends some of his life doing that, kind of rotating around and grinding things."
6,"117, 118",15:56,16:04,876.127,884.127,585,589,"But then he’s taken away again, and now, the next time he’s fashioned into a cannonball."
6,119,16:05,16:07,885.127,887.127,591,591,He’s put into a cannon.
6,"119, 120",16:07,16:12,887.127,892.127,592,595,He’s shot off and lands somewhere.
6,120,16:13,16:18,893.127,898.127,596,599,"I don’t remember where, but the rest of the clip is basically about the evolution of this rock’s life."
6,121,16:18,16:22,898.127,902.127,600,601,"So after being in the cannonball, he ends up being like in a smaller rock."
6,121,16:22,16:26,902.127,906.127,602,604,And I think he ends up being on the beach at some point.
6,126,16:26,16:36,906.127,916.127,605,611,"Oh no, he’s, he’s kicked by some guy who is walking along the street, so now the rock is much smaller, and the guy kicks him."
6,126,16:37,16:39,917.127,919.127,612,613,He’s clearly frustrated at something.
6,127,16:39,16:51,919.127,931.127,614,621,"And the rock eventually goes through like this window, maybe after the guy kicks him, goes through this window, hits a guy who’s having like dinner with his significant other, and then like rolls out of the window."
6,130,16:51,16:58,931.127,938.127,622,625,"And eventually the rock ends up in a beach, and now he’s very, very tiny, in among the sand."
6,131,16:59,17:07,939.127,947.127,627,631,"And this, a machine comes and scoops up a bunch of sand, which it’s clear is going to be made into glass."
6,"132, 133, 134",17:07,17:24,947.127,964.127,632,643,"And so this rock, now this tiny little rock is poured into fire, and fashioned into a glass lens or window of some sort that is put onto like a space shuttle that’s launched into space."
6,135,17:24,17:31,964.127,971.127,644,647,"And it goes through, you know, like I guess the atmosphere, and burns up and whatever."
6,135,17:31,17:40,971.127,980.127,648,653,"Eventually it hits another planet, and it hits another planet, the glass comes apart."
6,136,17:40,17:53,980.127,993.127,654,662,"And now this rock somehow, I’m not sure how, but it somehow trans-, it, it transforms into another enormous rock, exactly like the one that was in the beginning."
6,136,17:53,18:01,993.127,1001.127,663,667,"And now again he’s in front of a stream, looking fondly on as it kind of rolls away in front of him."
-1,-1,18:01,18:05,1001.127,1005.127,668,670,"Ok, so let me make sure I described all of the ones in the last bit."
