word,word_onsets,word_offsets,boundary,agreement
oclock,222.40499995239256,222.87499997314453,,
signed,224.0850000036621,224.8250000134277,,
pie,225.3750000109863,225.685000078125,,
man,225.685000078125,225.9650000866699,1.0,0.2780487804878049
so,229.1450000170898,229.3250000097656,,
i,229.3250000097656,229.4649999243164,,
was,229.4649999243164,229.6749999755859,,
there,229.6749999755859,230.3249999890137,,
with,230.9750000024414,231.09500005737303,,
a,231.09500005737303,231.1249999365234,,
photographer,231.1249999365234,231.77499994995117,,
from,231.77499994995117,231.97499998168945,,
the,231.97499998168945,232.0349999194336,,
ram,232.0349999194336,232.52499997924804,,
and,233.2349999304199,233.3650000048828,,
sure,233.3650000048828,233.5550000170898,,
enough,233.5550000170898,233.8949999633789,,
out,234.27499998779297,234.43499994140623,,
comes,234.43499994140623,234.70499993041992,,
sheila,234.70499993041992,235.1350000524902,,
beale,235.1350000524902,235.63499995239255,,
student,235.9049999414062,236.3350000634765,,
body,236.3350000634765,236.61500007202147,,
president,236.61500007202147,237.25500006591795,,
and,238.1349999902344,238.27500008422848,,
now,238.27500008422848,238.33500002197263,,
sheila,238.33500002197263,238.6749999682617,,
was,238.6749999682617,238.915000078125,,
different,238.915000078125,239.22499996582027,,
from,239.22499996582027,239.42499999755856,,
me,239.42499999755856,240.04499995239252,,
and,240.42499997680665,240.61499998901365,,
all,240.61499998901365,240.84500007934568,,
the,240.84500007934568,240.95499993530268,,
other,240.95499993530268,241.0749999902344,,
fordham,241.0749999902344,241.4750000537109,,
students,241.4750000537109,241.87499993774412,,
who,241.87499993774412,241.964999934082,,
wore,241.964999934082,242.13500008666992,,
flannel,242.13500008666992,242.5750000488281,,
shirts,242.5750000488281,242.9749999328613,,
and,242.9749999328613,243.0849999682617,,
worked,243.0849999682617,243.3449999377441,,
part,243.3449999377441,243.5249999304199,,
time,243.5249999304199,243.755000020752,,
jobs,243.755000020752,244.21500002197263,,
sheila,244.945000012207,245.41500003295891,,
was,245.41500003295891,245.9650000305176,,
well,246.1949999414062,246.51500002807612,,
bred,246.51500002807612,247.1149999438477,,
sheila,247.46500008911133,247.82500007446285,,
had,247.82500007446285,248.32499997436523,,
school,248.5250000061035,249.04499994506835,,
spirit,249.04499994506835,249.7049999780273,,
sheila,251.77500007324213,252.11500001953124,,
was,252.11500001953124,252.25499993408204,,
the,252.25499993408204,252.3250000708008,,
kind,252.3250000708008,252.5349999426269,,
of,252.5349999426269,252.59500005981445,,
student,252.59500005981445,252.91499996704096,,
that,252.91499996704096,253.0450000415039,,
dean,253.0450000415039,253.2150000146484,,
mcgowan,253.2150000146484,253.61500007812495,,
wanted,253.61500007812495,253.8950000866699,,
more,253.8950000866699,254.22500001342772,,
of,254.22500001342772,254.4450000842285,,
although,255.8750000061035,256.2550000305176,,
rumor,256.2550000305176,256.57499993774417,,
had,256.57499993774417,256.8850000048828,,
it,256.8850000048828,257.134999954834,,
that,257.134999954834,257.2850000683593,,
he,257.2850000683593,257.40499994384766,,
got,257.40499994384766,257.59499995605466,,
plenty,257.59499995605466,257.89500000366206,,
of,257.89500000366206,258.025000078125,,
her,258.025000078125,258.44500000122065,,
in,258.44500000122065,258.5750000756836,,
his,258.5750000756836,258.7350000292968,,
office,258.7350000292968,259.4249999414062,,
on,259.46500001953126,259.6149999536133,,
his,259.6149999536133,259.7750000866699,,
desk,259.7750000866699,260.2749999865722,,
oh,260.0350000561523,261.775000045166,,
but,262.31500002319336,262.52500007446287,,
thats,262.3649999414062,262.5749999926757,,
just,262.5749999926757,262.7549999853516,,
a,262.7549999853516,262.7950000634765,,
rumor,262.7950000634765,263.05500003295896,,
please,263.05500003295896,263.34500006103514,,
do,263.34500006103514,263.44500007690425,,
not,263.44500007690425,263.64499992919923,,
spread,263.64499992919923,263.9349999572754,,
it,263.9349999572754,264.1750000671387,,
outside,264.1750000671387,264.5150000134277,,
this,264.5150000134277,264.7050000256348,,
room,264.7050000256348,265.0549999914551,,
i,266.2249999438476,266.3149999401855,,
myself,266.2249999438476,266.65500006591793,,
would,266.65500006591793,266.77499994140624,,
never,266.77499994140624,267.07499998901363,,
say,267.07499998901363,267.31499991943355,,
that,267.31499991943355,268.2250000817871,1.0,0.2829268292682926
but,268.5349999694824,268.66500004394527,,
the,268.66500004394527,268.7249999816894,,
fact,268.7249999816894,269.09499998657225,,
was,269.09499998657225,269.4549999719238,,
sheila,269.61499992553706,269.99499994995114,,
had,269.99499994995114,270.1550000830078,,
collaborated,270.1550000830078,270.8249999560547,,
with,270.8249999560547,270.94500001098635,,
the,270.94500001098635,271.0049999487305,,
dean,271.0049999487305,271.5050000280761,,
to,271.834999954834,271.94499999023435,,
ban,271.94499999023435,272.535000065918,,
outdoor,272.5749999645996,273.1149999426269,,
drinking,273.1149999426269,273.5849999633789,,
on,273.5849999633789,273.7950000146484,,
campus,273.7950000146484,274.4450000280761,,
the,274.80500001342773,274.9449999279785,,
infamous,274.9449999279785,275.43499998779293,,
no,275.4450000073241,275.67499991821285,,
more,275.67499991821285,275.9350000671386,,
beer,275.9350000671386,276.4650000256347,,
at,276.4650000256347,276.6149999597168,,
barbecues,276.6149999597168,277.1549999377441,,
rule,277.1549999377441,277.41500008666986,,
thats,277.49500006347654,277.69499991577146,,
right,277.69499991577146,278.00499998291014,,
boo,278.00499998291014,278.1849999755859,,
that,278.1849999755859,278.3449999291992,,
